label,treatment,flux,swc,ts,date_time,bulk_density,root_density,total_c_percent,total_n_percent,cn_ratio,c_stock_kgC_m2,flux_mgco2_kgc,porosity,wfps,micro,macro
8,Disturbance,5.11166666666667,0.216666666666667,34.5433333333333,2023-08-15T10:55:00Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.06854977836662099,68.3677416603774,0.316913593172314,3.552945,73.638574
8,Disturbance,2.23133333333333,0,33.0666666666667,2023-09-11T10:50:00Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.029923196373404622,68.3677416603774,0,3.552945,73.638574
8,Disturbance,2.61966666666667,0,28.7,2023-09-18T11:48:20Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.0351309232594245,68.3677416603774,0,3.552945,73.638574
8,Disturbance,1.75333333333333,0,24.1,2023-09-25T10:27:20Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.023512998644175123,68.3677416603774,0,3.552945,73.638574
8,Disturbance,1.40533333333333,0,27.4,2023-10-02T10:49:20Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.018846160130008036,68.3677416603774,0,3.552945,73.638574
8,Disturbance,0.937003333333333,0.361466666666667,18.922223333333296,2024-01-29T14:48:44Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.012565641505468213,68.3677416603774,0.528709385286241,3.552945,73.638574
8,Disturbance,0.634093333333333,0.374176666666667,17.3977766666667,2024-01-30T12:31:14Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.008503480429817778,68.3677416603774,0.547300024221103,3.552945,73.638574
8,Disturbance,0.77644,0.28543,19.8188866666667,2024-01-31T14:55:37Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.010412414068792793,68.3677416603774,0.417492216457724,3.552945,73.638574
8,Disturbance,0.393876666666667,0.33235,15.21611,2024-02-05T14:33:41Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.005282065511010784,68.3677416603774,0.486121073957624,3.552945,73.638574
8,Disturbance,0.717103333333333,0.33491,18.6933333333333,2024-02-06T12:58:19Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.009616682340912633,68.3677416603774,0.489865529950798,3.552945,73.638574
8,Disturbance,0.76834,0.35414,18.41111,2024-02-07T14:56:49Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.010303789379238907,68.3677416603774,0.517992830243276,3.552945,73.638574
8,Disturbance,0.723543333333333,0.24651,17.3055566666667,2024-03-25T12:20:29Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.009703045674335727,68.3677416603774,0.360564783936494,3.552945,73.638574
8,Disturbance,0.671386666666667,0.356966666666667,13,2024-03-27T08:54:48Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.009003601016949027,68.3677416603774,0.522127333735739,3.552945,73.638574
8,Disturbance,0.70079,0.34348,16.39111,2024-03-29T10:10:12Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.009397913110181472,68.3677416603774,0.502400681459198,3.552945,73.638574
8,Disturbance,0.879246666666667,0.132683333333333,17.9216666666667,2024-04-01T09:08:14Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.011791098297278826,68.3677416603774,0.194073008864984,3.552945,73.638574
8,Disturbance,1.41697,0.301779444444444,25.9,2024-07-30T09:06:07Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.019002213130515335,68.3677416603774,0.441406191158924,3.552945,73.638574
8,Disturbance,1.77785666666667,0.268916666666667,29.511666666666695,2024-07-31T10:21:28Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.023841867714565316,68.3677416603774,0.393338525064252,3.552945,73.638574
8,Disturbance,1.66439,0.160243333333333,28.5216666666667,2024-08-01T09:24:36Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.02232022803044413,68.3677416603774,0.234384417916502,3.552945,73.638574
8,Disturbance,1.76201333333333,0.147443333333333,26.505556666666696,2024-08-02T08:32:45Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.02362940139791929,68.3677416603774,0.21566213795063,3.552945,73.638574
9,NPK,0.945333333333333,0,27.816666666666695,2023-06-06T09:08:00Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.018328210137704217,66.0758458113208,0,2.530991,76.579103
9,NPK,1.135,0,36.05,2023-06-09T11:18:20Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.02200548502076265,66.0758458113208,0,2.530991,76.579103
9,NPK,1.70766666666667,0.12,29.1666666666667,2023-06-12T12:29:40Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.033108399342545454,66.0758458113208,0.181609480024909,2.530991,76.579103
9,NPK,1.658,0.19,NA,2023-06-16T10:54:20Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.032145457413589845,66.0758458113208,0.287548343372772,2.530991,76.579103
9,NPK,1.367,0.21,27.753333333333295,2023-06-23T12:23:20Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.02650352248756171,66.0758458113208,0.31781659004359,2.530991,76.579103
9,NPK,2.69366666666667,0.0466666666666667,24.6,2023-07-06T08:10:40Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.052225058576441476,66.0758458113208,0.0706259088985756,2.530991,76.579103
9,NPK,2.95366666666667,0,32.5033333333333,2023-08-05T10:51:20Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.05726596263406111,66.0758458113208,0,2.530991,76.579103
9,NPK,3.236,0.103333333333333,30.586666666666705,2023-08-15T10:49:00Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.06273986742483519,66.0758458113208,0.15638594113256,2.530991,76.579103
9,NPK,1.7325,0,33.4,2023-09-11T10:57:00Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.033589870307023165,66.0758458113208,0,2.530991,76.579103
9,NPK,1.97233333333333,0,28.8,2023-09-18T11:43:00Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.038239781165301724,66.0758458113208,0,2.530991,76.579103
9,NPK,1.00233333333333,0,23.9,2023-09-25T10:21:40Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.019433331411874616,66.0758458113208,0,2.530991,76.579103
9,NPK,0.773666666666667,0,27.5,2023-10-02T10:54:40Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.014999920920173312,66.0758458113208,0,2.530991,76.579103
9,NPK,0.890203333333333,0.217216666666667,17.25611,2024-01-29T15:14:34Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.01725934459656356,66.0758458113208,0.328738382383977,2.530991,76.579103
9,NPK,0.724033333333333,0.21991,17.28111,2024-01-30T12:47:37Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.014037625260968729,66.0758458113208,0.33281450626898,2.530991,76.579103
9,NPK,0.824606666666667,0.2162,19.78,2024-01-31T15:00:37Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.015987550353616178,66.0758458113208,0.327199746511544,2.530991,76.579103
9,NPK,0.793413333333333,0.176513333333333,15.6927766666667,2024-02-05T14:28:39Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.015382771120652,66.0758458113208,0.267137455701084,2.530991,76.579103
9,NPK,0.756146666666667,0.23556,18.485556666666696,2024-02-06T12:53:12Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.014660241539059864,66.0758458113208,0.356499409288896,2.530991,76.579103
9,NPK,0.62048,0.19616,18.34278,2024-02-07T15:02:01Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.012029923652583974,66.0758458113208,0.296870963347384,2.530991,76.579103
9,NPK,0.747683333333333,0.0745333333333333,17.0777766666667,2024-03-25T12:25:49Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.014496153649286827,66.0758458113208,0.112799665926582,2.530991,76.579103
