"","label","treatment","flux","swc","ts","date_time","year","yday","time","ftime","bulk_density","root_density","total_c_percent","total_n_percent","cn_ratio","c_stock_kgC_m2","flux_mgco2_kgc","porosity","wfps"
"343","14","NPK",0.87,0.16,30.8333333333333,2023-06-23 13:10:40,2023,174,18,"18",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,94.2491729111392,52.9388702641509,0.302235388102622
"344","14","NPK",2.44666666666667,0,35.3,2023-07-06 11:52:00,2023,187,31,"31",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,265.053229566192,52.9388702641509,0
"345","14","NPK",1.48233333333333,0,36.0066666666667,2023-08-05 12:07:40,2023,217,61,"61",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,160.584701891125,52.9388702641509,0
"346","14","NPK",1.424,0.11,29.7266666666667,2023-08-15 10:08:40,2023,227,71,"71",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,154.26531290283,52.9388702641509,0.207786829320552
"347","14","NPK",1.58433333333333,0,35.0666666666667,2023-09-11 11:39:00,2023,254,98,"98",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,171.634604922086,52.9388702641509,0
"348","14","NPK",1.639,0.0133333333333333,26.6,2023-09-18 11:13:20,2023,261,105,"105",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,177.556775173974,52.9388702641509,0.0251862823418851
"349","14","NPK",1.05033333333333,0,34.3333333333333,2023-09-25 12:18:40,2023,268,112,"112",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,113.785112583525,52.9388702641509,0
"350","14","NPK",0.793666666666667,0,23.3,2023-10-02 10:01:00,2023,275,119,"119",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,85.9798010350277,52.9388702641509,0
"351","14","NPK",0.404083333333333,0.11225,8.86944333333333,2024-01-29 12:15:40,2024,29,210,"210",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,43.7753102917733,52.9388702641509,0.212037014465746
"352","14","NPK",0.332433333333333,0.290823333333333,18.5244433333333,2024-01-30 13:40:37,2024,30,211,"211",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,36.0132950744364,52.9388702641509,0.549356893870613
"353","14","NPK",0.436956666666667,0.247076666666667,20.22949,2024-01-31 14:21:32,2024,31,212,"212",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,47.3365568176341,52.9388702641509,0.466720701506888
"354","14","NPK",0.366506666666667,0.311103333333333,12.70389,2024-02-05 12:27:24.333333,2024,36,217,"217",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,39.7045404594849,52.9388702641509,0.587665229312621
"355","14","NPK",0.325513333333333,0.226686666666667,20.2044433333333,2024-02-06 14:13:42.333333,2024,37,218,"218",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,35.2636349864536,52.9388702641509,0.42820457923556
"356","14","NPK",0.29511,0.2182,16.6177766666667,2024-02-07 16:10:41,2024,38,219,"219",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,31.9699694457543,52.9388702641509,0.41217351052495
"357","14","NPK",0.657426666666667,0.228426666666667,16.8722233333333,2024-03-25 13:04:52.666667,2024,85,266,"266",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,71.2205972219086,52.9388702641509,0.431491389081176
"358","14","NPK",0.496853333333333,0.310981666666667,14.1,2024-03-27 09:50:40,2024,87,268,"268",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,53.8253054308152,52.9388702641509,0.587435404486251
"359","14","NPK",0.393856666666667,0.289383333333333,11.535,2024-03-29 09:19:13.333333,2024,89,270,"270",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,42.6674311251397,52.9388702641509,0.54663677537769
"360","14","NPK",0.57708,0.22598,16.9744433333333,2024-04-01 08:16:26.333333,2024,92,273,"273",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,62.5164513834025,52.9388702641509,0.42686970627144
"361","14","NPK",1.97824,0.37681,26.7466666666667,2024-07-30 09:49:38,2024,212,393,"393",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,214.307452666359,52.9388702641509,0.711783228693431
"362","14","NPK",2.23175666666667,0.297676666666667,26.24,2024-07-31 09:44:58,2024,213,394,"394",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,241.771517209488,52.9388702641509,0.562302642994342
"363","14","NPK",2.45734333333333,0.241866666666667,24.9822233333333,2024-08-01 08:27:16,2024,214,395,"395",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,266.209858305021,52.9388702641509,0.456879161681797
"364","14","NPK",2.68420666666667,0.128933333333333,30.5016666666667,2024-08-02 09:30:08.666667,2024,215,396,"396",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,290.786503742413,52.9388702641509,0.243551350246029
"365","15","Control",0.680666666666667,0,30.7533333333333,2023-06-06 09:57:00,2023,157,1,"1",0.846642329,0.000595511,1.925,0.12,16.0416666666667,1.629786483325,30.8649339527725,68.0512328679245,0
"366","15","Control",1.246,0,37.06,2023-06-09 12:06:20,2023,160,4,"4",0.846642329,0.000595511,1.925,0.12,16.0416666666667,1.629786483325,56.500060291608,68.0512328679245,0
"367","15","Control",3.99733333333333,0.34,28.9566666666667,2023-06-12 11:39:20,2023,163,7,"7",0.846642329,0.000595511,1.925,0.12,16.0416666666667,1.629786483325,181.259690480728,68.0512328679245,0.49962357134643
"368","15","Control",1.457,0.17,31.3566666666667,2023-06-16 11:45:40,2023,167,11,"11",0.846642329,0.000595511,1.925,0.12,16.0416666666667,1.629786483325,66.0678875159493,68.0512328679245,0.249811785673215
