Label,Rep,Height_1_cm,Height_2_cm,Height_3_cm,Average_Height,Time,flux,swc,ts,EC,Date,Treatment,Ants,Treatment_binned,Rainfall
7,1,7.5,9,8.5,8.3,12:45,1.893,0.24,30.67,0,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
7,2,7.5,9,8.5,8.3,12:46,1.888,0.24,30.95,0.01,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
7,3,7.5,9,8.5,8.3,12:48,1.685,0.25,30.78,0,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
8,1,8,8.5,6,7.5,12:35,2.546,0.23,32.11,0,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
8,2,8,8.5,6,7.5,12:37,2.444,0.24,31.8,0,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
8,3,8,8.5,6,7.5,12:38,2.384,0.24,31.55,0,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
9,1,4.5,7.5,7.5,6.5,12:28,1.79,0.12,29.2,0,6/12/23,NPK_Cessation,,NPK ,Yes
,,,,,,,,,,,,,,,
9,2,4.5,7.5,7.5,6.5,12:30,1.731,0.12,29.16,0,6/12/23,NPK_Cessation,,NPK ,Yes
,,,,,,,,,,,,,,,
9,3,4.5,7.5,7.5,6.5,12:31,1.602,0.12,29.14,0,6/12/23,NPK_Cessation,,NPK ,Yes
,,,,,,,,,,,,,,,
10,1,8.5,9,7.5,8.3,12:21,2.094,0.28,30.84,0.01,6/12/23,NPK ,,NPK ,Yes
,,,,,,,,,,,,,,,
10,2,8.5,9,7.5,8.3,12:22,2.133,0.28,30.78,0.01,6/12/23,NPK ,,NPK ,Yes
,,,,,,,,,,,,,,,
10,3,8.5,9,7.5,8.3,12:24,1.949,0.29,30.48,0.01,6/12/23,NPK ,,NPK ,Yes
,,,,,,,,,,,,,,,
11,1,6,8,8.5,7.5,12:13,3.966,0.16,30.39,0,6/12/23,NPK_Cessation,,NPK ,Yes
,,,,,,,,,,,,,,,
11,2,6,8,8.5,7.5,12:15,5.116,0.16,30.66,0,6/12/23,NPK_Cessation,,NPK ,Yes
,,,,,,,,,,,,,,,
11,3,6,8,8.5,7.5,12:16,4.432,0.16,30.44,0,6/12/23,NPK_Cessation,,NPK ,Yes
,,,,,,,,,,,,,,,
12,1,7,7,8,7.3,12:04,2.776,0.17,30.27,0,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
12,2,7,7,8,7.3,12:05,3.302,0.17,30.04,0,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
12,3,7,7,8,7.3,,3.609,0.17,29.34,0,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
13,1,5,6.5,6.5,6,11:54,7.853,0.08,30.28,0,6/12/23,NPK_Disturbance,,NPK_Disturbance,Yes
,,,,,,,,,,,,,,,
13,2,5,6.5,6.5,6,11:55,8.62,0.09,30.44,0,6/12/23,NPK_Disturbance,,NPK_Disturbance,Yes
,,,,,,,,,,,,,,,
13,3,5,6.5,6.5,6,11:57,8.64,0.09,30.74,0,6/12/23,NPK_Disturbance,,NPK_Disturbance,Yes
,,,,,,,,,,,,,,,
14,1,7,5,7,6.3,11:46,1.904,0.06,31.22,0,6/12/23,NPK ,,NPK ,Yes
,,,,,,,,,,,,,,,
14,2,7,5,7,6.3,11:47,1.626,0.05,30.9,0,6/12/23,NPK ,,NPK ,Yes
,,,,,,,,,,,,,,,
14,3,7,5,7,6.3,11:49,1.654,0.06,30.64,0,6/12/23,NPK ,,NPK ,Yes
,,,,,,,,,,,,,,,
15,1,7,7,8.5,7.5,11:38,4.086,0.34,28.84,0.01,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
15,2,7,7,8.5,7.5,11:39,3.978,0.34,28.94,0.01,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
15,3,7,7,8.5,7.5,11:41,3.928,0.34,29.09,0.01,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
16,1,7.5,6.5,7,7,11:31,3.787,0.3,28.93,0.01,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
16,2,7.5,6.5,7,7,11:32,4.118,0.31,28.81,0.01,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
16,3,7.5,6.5,7,7,11:33,4.591,0.31,28.67,0.01,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
